Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-32.84030662340124,0,-63.41011744709229,0
0.48828125,-33.13680541567981,179.6294363868863,-63.78437936496653,178.9827427364274
0.9765625,-36.59680982172611,-0.8523394535764864,-68.03004563711552,-1.79413561190586
1.46484375,-46.82263098965062,178.0450992569984,-85.28421305781231,143.989622910373
1.953125,-66.69957089120479,0.8634579609329657,-80.17904926797027,-149.6364250779407
2.44140625,-76.15320744659149,-138.0415103340294,-80.84178578065433,34.28084255462483
2.9296875,-77.92857466039678,51.3133425599469,-81.2756165068235,-136.4889538721513
3.41796875,-86.36270075764682,-115.9932545447414,-81.86048928246453,60.64172440868241
3.90625,-85.30506440558712,-105.1931113894861,-82.71014800973191,-93.66157005571004
4.39453125,-78.54450070274686,89.99912428820292,-81.86008396606654,104.8974387459432
4.8828125,-77.50492628558621,-87.72122728354441,-80.64770660898134,-60.98210736464159
5.37109375,-78.81546499089625,103.1461204325162,-79.85332792552705,134.1507650442491
5.859375,-81.68819758596808,-28.01820909489549,-80.40893272219277,-43.52209964826709
6.34765625,-82.28016883323872,-164.0100793829378,-81.5637422641629,131.5018144472112
6.8359375,-83.69962930096568,52.6955405185781,-81.71963686822905,-48.35129062841578
7.32421875,-83.09911502659234,-93.53050426464843,-82.52072715516721,136.6830566660162
7.8125,-82.87981444400474,110.2942126154909,-84.26016880868795,-33.16922259043406
8.30078125,-82.71389032731793,-73.82442206038046,-85.91436884676666,146.3496711831809
8.7890625,-82.2571299079827,73.84361838965648,-88.38235819041095,-46.241848349513
9.27734375,-82.16654164047395,-117.0413113906356,-90.20563910762726,110.1314038628478
9.765625,-81.27771958795584,70.59062222204832,-89.21403213618761,-97.89896918511859
10.25390625,-81.26551384099486,-109.5217100367399,-89.83721763291942,69.2219374148582
10.7421875,-87.86607429035092,98.14231433916716,-92.02304741280535,-111.0617738887544
11.23046875,-101.0124771349454,-36.24395841022009,-93.20818155102,46.01819687600653
11.71875,-86.32205609922696,-43.84477248847067,-94.02298788525933,168.7316725909257
12.20703125,-78.95220878024452,114.8077588244989,-90.95949612687845,-53.8041264316539
12.6953125,-76.39779239975677,-59.78877995529494,-90.16855876076835,128.6334525498346
13.18359375,-76.29371039460818,138.315475978985,-92.7438803334333,-45.10190148233109
13.671875,-75.78916630283376,-27.07822734399779,-94.55407757865481,169.4906116186398
14.16015625,-73.5157469313944,169.7766065117775,-88.05321356659063,37.73708563691837
14.6484375,-72.54054310176546,-1.580937128149884,-84.83093728134357,-115.4295400511944
15.13671875,-74.97457021262186,173.7928346917745,-85.39650131274497,85.64980643679161
15.625,-79.85972544541073,-32.26237212625646,-88.05583534617216,-81.46648743921529
16.11328125,-79.44166568148623,79.07259901554536,-90.71706218772752,117.135470070849
16.6015625,-74.69799792796826,-129.3290103841344,-93.30670881604739,-24.53208791016465
17.08984375,-74.20034981639111,48.17710530909117,-97.88266434726557,-166.9282291510257
17.578125,-75.86971826294253,-118.8041493163218,-103.9206605306922,-62.40932581171615
18.06640625,-77.66336652163282,86.03579317889911,-93.5339244273603,70.788438040575
18.5546875,-78.02381637303392,-59.6601451422879,-90.39492614830996,-123.4590969146315
19.04296875,-78.08916699955404,135.8025909069354,-88.89502562497279,65.8580505048174
19.53125,-79.69934010869127,-53.70818796055893,-86.99207403968876,-117.6323942149151
20.01953125,-82.53652372624865,103.8018683769605,-86.75690926689045,53.58874446411036
20.5078125,-87.59403926431915,-163.6473893770013,-89.83644989830603,-119.1236638200058
20.99609375,-81.23070720934317,-33.14707129629637,-96.91081062400917,45.11132427174743
21.484375,-81.05505770965178,124.0263531768631,-92.33501611829149,159.2448393266993
21.97265625,-79.69509343753374,-92.02954968361803,-85.92934916847553,-24.86784487358263
22.4609375,-76.71423935984228,67.79800551818833,-83.15783415360004,149.1779737696048
22.94921875,-75.97361693694282,-117.4988584022543,-82.53503857700173,-29.36104474881506
23.4375,-76.00472509146789,63.75987405898781,-83.11405223828386,160.1527345324957
23.92578125,-75.3648082568988,-110.1772505671677,-86.05687959001133,-29.11094928120692
24.4140625,-74.79174101931403,75.15613426530705,-90.6895084032712,106.9285718325863
24.90234375,-74.04749125647088,-112.3332061705409,-90.99636019913083,-137.0075199973354
25.390625,-73.56690420154153,49.99275899638465,-85.97309788541503,11.26681513693979
25.87890625,-73.90920306618662,-146.1585962567231,-81.70037115747306,-172.1595768744571
26.3671875,-75.46088165506517,16.29632286286774,-80.65204718545105,15.0277162762231
26.85546875,-78.1576402718444,164.9189017346452,-81.78855566174158,-154.6742850865207
27.34375,-79.09408227769146,-55.2335818354431,-83.92035698512962,31.9177528065379
27.83203125,-79.07759690604476,84.72622842474973,-89.41877828904643,-152.3489982795278
28.3203125,-77.03695524320413,-137.9264209699578,-90.44617990077342,-49.42397967410631
28.80859375,-75.73935410949798,25.95011592657504,-82.84759512854885,113.8282584704396
29.296875,-76.23991670017952,-155.6955759017651,-80.26339796754934,-67.80468948841835
29.78515625,-77.06305812927731,24.73220012762212,-80.5220966033456,108.5876571113551
30.2734375,-79.08626996296937,-149.9903328351856,-83.26467128276947,-84.78715750737855
30.76171875,-83.25532876326314,41.11295590215931,-86.69582763940248,67.27298064457638
31.25,-88.31662398162563,167.1738495617841,-87.19788182832319,-132.140144148887
31.73828125,-81.86379289862043,-52.6860016759645,-85.92626184693246,33.49817107524296
32.2265625,-83.0489289811787,99.22965339235272,-84.76978979741159,-154.1766889989478
32.71484375,-83.34393860330046,-133.0402440159958,-85.30272661499527,33.46602539471731
33.203125,-81.3368747102014,28.49108275680937,-87.23785899341837,-136.0535947042557
33.69140625,-78.3906518245646,-155.6746400822002,-89.83801931662902,49.4529747173987
34.1796875,-77.76993663686267,32.26206011494463,-92.07617432558338,-103.5789884281176
34.66796875,-78.33599658536893,-125.2595027328785,-89.71481163784819,107.8056091639434
35.15625,-80.15917372173487,65.87687444426619,-87.60193063700376,-76.16562748144442
35.64453125,-88.3502079782896,-131.829964119551,-85.25840175465393,104.9660072655249
36.1328125,-88.53797736979863,-53.83188451318782,-83.64906906464624,-62.25078732741008
36.62109375,-85.13737106402809,87.1812209140252,-84.51594894483739,133.1147859453759
37.109375,-84.41183447140801,-128.976204166453,-86.84326708377235,-24.85484017440016
37.59765625,-84.57784906080349,30.87476394446465,-89.52117096369935,-175.2188583942347
38.0859375,-83.19632550287315,-144.0913495092335,-91.08968043075268,61.54384075970197
