Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
12.6953125,-85.97352445765431,-40.00172555126549,-88.85990614259667,-35.40039138170207
13.18359375,-92.71714809470859,122.6215969542478,-87.0702268844859,112.5556773066396
13.671875,-93.55250589685329,-146.1940354219702,-86.35342039898268,-89.52538846627773
14.16015625,-90.08520946486868,64.16501745516877,-87.12059787508915,81.50667438031674
14.6484375,-82.9197446389685,-95.24047252113031,-90.5489222075152,-98.36722024809585
15.13671875,-79.74408952221088,87.25763977397602,-92.18374515223911,75.15453817135496
15.625,-79.53107781307773,-86.55754574758882,-92.02368742911349,-97.28535933125009
16.11328125,-80.73378732691764,96.78628851660447,-93.46518420509659,82.34983701578837
16.6015625,-82.32410318612619,-91.3718175638049,-94.53167758593368,-103.0956439589422
17.08984375,-84.72553124206198,76.48718969940509,-105.736864325892,145.7105010922522
17.578125,-88.77497518077908,-106.5694842290141,-92.91040799712776,53.14820773342718
18.06640625,-90.37506126060435,78.59595372842598,-90.77939199662582,-126.5075325257111
18.5546875,-96.41015640627933,-109.9561857565766,-88.71164250925597,33.77993007444476
19.04296875,-95.13191703985586,-99.85820777453291,-84.8296614666958,-161.8938518137832
19.53125,-89.16530539807508,85.86339210078911,-83.91254652585879,12.6234280387717
20.01953125,-88.7655515062557,-71.43517288523485,-84.78571123744987,-159.8698423373834
20.5078125,-90.47235591662132,135.0799828456617,-85.18049665804328,39.94737664195925
20.99609375,-90.88290639025865,-37.08517721105562,-86.69975265154631,-128.7438382628777
21.484375,-90.12667820904183,129.0987424344722,-90.46014303057079,59.10298557612242
21.97265625,-92.38357200396197,-65.42500788739513,-92.12923368454524,-118.2358922731236
22.4609375,-91.62455971139204,96.58439660997517,-90.59913280679083,22.55671510531623
22.94921875,-90.23177000887058,-71.0665214583946,-88.71776264260099,179.5315097409226
23.4375,-94.24594641247134,125.2036110568429,-91.55127739093246,8.043818057512873
23.92578125,-100.45300666966,-79.93914602430294,-98.7719538454141,-80.60557142351762
24.4140625,-106.4847900372136,98.27287733651033,-86.75303712923089,160.4912281044988
24.90234375,-106.4892882316445,123.9951380177586,-82.22668418347254,-11.48609620720676
25.390625,-96.63233065187072,-16.09245160905325,-80.82508660160977,171.3923836952281
25.87890625,-93.64810251353539,133.2522413472396,-82.18684922301651,-6.314859609156176
26.3671875,-87.54042967659711,-75.30973678736555,-88.17362349260949,169.6984248289736
26.85546875,-84.76673980976446,118.8678503458856,-95.20123954558599,-72.49772606904837
27.34375,-84.67950614438705,-37.63622116059629,-90.98754492970279,46.38629323770757
27.83203125,-85.9784127863111,154.812835875322,-85.76940624104321,-157.9295191793432
28.3203125,-86.51561402885456,-20.24800876093473,-84.43736503822215,17.76140283088662
28.80859375,-87.6174667112308,162.8274732952133,-85.37428145054578,-165.9175391376569
29.296875,-89.75022391661452,-33.2630409916754,-86.73738297425493,9.844469122364059
29.78515625,-88.27684025772398,118.9323355832169,-91.53826020697218,-152.9404645672691
30.2734375,-88.46287415402824,-87.38043293474877,-92.73112941117648,92.12112233301021
30.76171875,-89.97092246035564,42.63782926124323,-90.43569073906184,-53.15448766966697
31.25,-88.2535479998138,-171.5023116483106,-87.89143839119816,133.8246698913925
31.73828125,-87.32709850995064,-8.107740844952804,-86.80616159645014,-63.61775226074869
32.2265625,-89.55651999134494,152.9962772048769,-88.30346455906279,106.9846884804583
32.71484375,-95.26114819102629,-75.88430076347687,-90.57201350844748,-75.15699894337416
33.203125,-90.5146217961514,77.07058999446974,-94.89740153093823,75.77096670467161
33.69140625,-85.27650346111535,-86.77584192874755,-98.89533253442323,159.6733909578109
34.1796875,-81.87851427471402,108.7262309997983,-91.79339563278756,-35.98985587642731
34.66796875,-79.89214141145555,-68.37843673747645,-86.93357236335579,164.9580193171022
35.15625,-79.5199456029886,104.0937679512279,-86.56513954630969,-6.413252764530702
35.64453125,-80.94368686375462,-75.98284118206315,-90.86639495880266,173.2766948433435
36.1328125,-85.03752846134358,110.0569536808023,-107.6583335241792,-47.90457218511533
36.62109375,-93.325507012171,-78.83572371971205,-91.63148292493645,-17.07663141705128
37.109375,-102.1501054508692,-127.9677788903783,-86.80987601187536,149.1979565814838
37.59765625,-88.70848429763518,73.28915776184087,-86.91260833529591,-42.6939357283676
38.0859375,-86.58974668293881,-97.78930950680092,-87.28655461560243,122.463516464014
38.57421875,-87.1306858759792,74.44878029074555,-87.54860506978071,-50.12192990042475
39.0625,-87.88523736665317,-112.2644019525361,-88.82008462509866,176.5121966119301
39.55078125,-92.59809829506042,67.00118389989422,-86.95534450801063,38.23264044508438
40.0390625,-104.06966491291,-53.6509424696925,-87.94511739123308,-120.8079940524701
40.52734375,-89.64255421355614,-179.9952801433901,-88.12014046775477,101.8707519225693
41.015625,-85.72327115118208,-1.317040490112777,-85.16966204145463,-49.39220626187684
41.50390625,-87.83994132621855,175.1252367048479,-87.64701918430853,156.5743471987808
41.9921875,-93.15684615781208,-2.538968864206089,-91.52965141984795,46.37208098936981
42.48046875,-99.96246506808262,-107.2350870761472,-87.48274252357176,-91.0341996856104
42.96875,-89.09727743549239,122.483721286236,-83.95059285438171,100.794088546221
43.45703125,-85.01736640282135,-59.38345725092513,-83.85919789201098,-77.49550275481153
43.9453125,-84.95121694782931,120.0465232469397,-89.14999517978848,85.76722121116354
44.43359375,-86.90511982661423,-51.47435893282574,-91.20573619070802,-162.4771659793976
44.921875,-89.64763418189533,139.0049101805822,-87.14425441913764,-14.64829120732076
