Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1572.300663694449,0.02696675975253377,-0.8021950792077506,-100.846885701814
1628.830142874276,0.02757253917932539,-0.8412885707200514,-104.6158560305738
1687.392046316291,0.0285346791985361,-0.8786846600050268,-108.5427237864397
1748.059446485361,0.02867420639188707,-0.9166417558980278,-112.6570210287645
1810.908043046405,0.02947145495973188,-0.9556542216449405,-116.9514535514331
1876.016257321045,0.02771573347547353,-0.9934366256372774,-121.4572980727797
1943.465330140276,0.0275663945497348,-1.031449516018332,-126.1794072465463
2013.339423215283,0.02988580740429444,-1.07268231056425,-131.1278504744239
2085.725724152885,0.02858210261224805,-1.110480543194457,-136.3421569932749
2160.714555246608,0.02864538584060902,-1.151794612370245,-141.8346670639113
2238.399486179197,0.02964512359324461,-1.191601146040473,-147.6405216666674
2318.877450777128,0.02632874779867543,-1.234890204020552,-153.7799984983201
2402.248867962863,0.02386322779720899,-1.280076482099317,-160.2950548087769
2488.61776705573,0.02457945837893745,-1.333088218783922,-167.2234470278856
2578.091917577787,0.02423285856722055,-1.389492891869957,-174.631874515731
2670.782963726655,0.02425976046127741,-1.461195606961914,177.450757837392
2766.806563683087,0.02566683759555708,-1.552925539581695,168.9459281686546
2866.282533927115,0.02269363010975689,-1.676078417240761,159.8178543683256
2969.334998742857,0.02152692600083067,-1.845350018062533,149.9939025427239
3076.0925450985,0.02103306949075335,-2.08079349075342,139.4570159220299
3186.688383094765,0.01959038909086596,-2.405482641562923,128.2109798257949
3301.260512182009,0.02107794559571418,-2.846548558223962,116.3199721019908
3419.951893353395,0.02036698042438355,-3.427403113667542,103.9315007580855
3542.910627529002,0.01568482837639277,-4.169597679979445,91.26103520002374
3670.290140353412,0.01562543402354704,-5.078984377180048,78.56497555104249
3802.249373637407,0.00615927857126107,-6.141664941444342,66.1053586465229
3938.952983682643,0.008956664939847489,-7.338672880008378,54.11861392431834
4080.571546736739,0.0117713304697142,-8.643176147497522,42.76728288414336
4227.281771835191,0.007895568917354413,-10.02209872512636,32.10806517382969
4379.266721295637,0.0007665008838163121,-11.4447899695041,22.20138488800899
4536.716039139659,0.003219892497648639,-12.88371462705811,13.05276019099998
4699.826187727105,0.0007450749756660898,-14.33178871071282,4.605511099691821
4868.800692898185,-0.006620248071488744,-15.76037851411517,-3.167032847801943
5043.850397929289,-0.0003434447115409188,-17.1660491312846,-10.24231135385592
5225.193726619332,0.001713368570525755,-18.53793050917908,-16.66023375540824
5413.056955834948,0.003683810177224908,-19.87695371044739,-22.42635593972234
5607.674497854612,0.01080321261964708,-21.15644936848481,-27.66706378363898
5809.289192863946,0.007898674868037995,-22.38547403703201,-32.28973846255656
6018.152611967239,0.01143831912474367,-23.57987818679618,-36.28308842740186
6234.525371093257,0.0119822346407856,-24.69951958625131,-39.80779144925413
6458.677456186961,0.008537676425221156,-25.76196294624933,-42.778421554399
6690.888560093042,0.004257739179488949,-26.75586826758241,-45.32458986623165
6931.448431551466,-0.01902808056640002,-28.1498365508832,-47.64996302513204
7180.657236740642,-0.01275703405266541,-29.02819534520305,-49.56526082581263
7438.825933819243,0.00121214776481526,-29.82061722984109,-50.93728481617404
7706.276660934066,0.002515140108945635,-30.6103818999708,-52.04210688480418
7983.343138178097,0.005930920765115743,-31.30724299918102,-52.92201478704754
8270.371084000277,0.005609224059312313,-31.96919494067968,-53.77698111294967
8567.718646586627,0.004754418964144611,-32.5300575414841,-54.24409434992111
8875.756850750975,-0.002012901493003282,-33.03903609672444,-54.71083859119406
9194.870060892859,-0.005046465147866544,-33.51763686529767,-55.018050619513
9525.456460600362,-0.009595756032799815,-33.95367740078913,-55.57338335759313
9867.928549496281,0.002483348871867191,-34.32494332505929,-55.87209631647829
10222.71365794751,0.005497537131999242,-34.70804567715565,-56.49355600202297
10590.25448028008,-0.01015274316627963,-35.01683441223011,-56.87287851126975
10971.0096271649,0.003168296735780408,-35.394784448986,-57.62408974967059
11365.45419786377,0.005768220959170297,-35.74438886979445,-57.82459416592322
11774.08037304949,0.005906081494549222,-35.9955271565772,-58.56913904782602
12197.39802893981,0.01418387133336328,-36.30551034312677,-58.7291564156594
12635.93537351161,0.002222897709193258,-36.65899642621375,-59.31289600310126
13090.23960558907,0.004933998106110378,-36.95951529542454,-60.10533405864052
13560.8775976283,-0.000810907647089025,-37.1922333962285,-60.55247415474081
14048.43660305038,0.005248998998509381,-37.42184357489539,-60.50596665685631
14553.52498900529,0.008774978228621475,-37.76671780058164,-61.7636666469318
15076.77299548134,0.01401110575449542,-37.99053564957297,-62.11159165095944
15618.83352170694,0.01176381756282201,-38.28432900482753,-62.96357888312752
16180.38294082625,0.01052461685817575,-38.55502979742266,-63.06584129979302
16762.12194386521,-0.000612080181018594,-38.7642026247259,-63.81581819792915
17364.77641404078,0.01166845364462482,-39.12546137281244,-64.245646596065
17989.09833250475,0.01111273643136736,-39.4091582878925,-64.41787733671684
18635.86671665194,0.008057638331615354,-39.66203754402764,-66.23228019342616
19305.88859216376,0.001873811362760899,-40.00954793516986,-66.57090953833475
20000,0.0009403104714318005,-40.32759749069095,-66.82075496121884
