Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
942.0547329114897,0.007214386738018989,-2.065381690400411
966.9468490323486,0.007353720387242402,-2.10593551930087
992.4966949255105,0.007356544917221253,-2.151034346919695
1018.721649927117,0.007133297441416674,-2.203099525518583
1045.639552591273,0.007202557352238687,-2.266591815985077
1073.268712824059,0.007055580304112527,-2.34624937354436
1101.627924338165,0.007631834777604671,-2.448137488410673
1130.736477436621,0.007365970610825171,-2.580223288467313
1160.614172134312,0.007432249976439417,-2.751531173719618
1191.281331626197,0.007478609881680577,-2.972979633406271
1222.758816111419,0.007439119624702716,-3.254593182627712
1255.068036982674,0.007933874469398269,-3.608397883520616
1288.230971390528,0.007917073328883133,-4.041327711628738
1322.270177192547,0.007919723670984608,-4.560582701293868
1357.208808297454,0.007988412193385495,-5.169022653003611
1393.070630414712,0.008337200354986331,-5.865425088599273
1429.880037220271,0.008186645810853406,-6.644362237964581
1467.66206694946,0.008706098232122535,-7.500402645026646
1506.442419428321,0.00815416066263568,-8.419624981678048
1546.247473554959,0.008905392342873738,-9.394335515586437
1587.104305242817,0.008844314424738866,-10.41428193802727
1629.040705838059,0.008250524632779182,-11.47102842336508
1672.085201023603,0.008194737112499181,-12.55524334280445
1716.267070222661,0.008488108307058345,-13.66103598965243
1761.616366514985,0.008674665923194149,-14.784469789755
1808.163937079356,0.00945542552302739,-15.91606836688079
