Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2511.886431509582,0.01907911024180049,-1.412032732112972,-167.7770941595448
2630.267991895382,0.01901483747262164,-1.50278744389627,-177.5511662475235
2754.228703338167,0.0170939906471623,-1.622598068925218,171.7501606497646
2884.031503126605,0.01682062094914486,-1.796412271887427,160.0060365341059
3019.951720402017,0.01579858392749544,-2.052517719055087,147.0944172278186
3162.27766016838,0.01460113144735151,-2.440231814064369,132.9804568067274
3311.311214825911,0.01333025456519754,-3.018421817276931,117.7795422166353
3467.368504525317,0.01365997218806778,-3.840043903286501,101.7759557062457
3630.780547701015,0.01158448245891279,-4.938703853257849,85.45530324005271
3801.893963205612,0.01072812623465367,-6.310316742205051,69.41122683988741
3981.071705534974,0.009895554219206536,-7.914430107035592,54.12381560664846
4168.693834703354,0.008740725551466554,-9.683051746763994,39.9348766102832
4365.15832240166,0.008637416221848977,-11.55579706095319,26.93901407093773
4570.881896148752,0.007700071118959677,-13.46165531525558,15.16534629380741
4786.300923226383,0.006512857063421753,-15.37185161475572,4.526549824912365
