Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000001,0.0345851748094311,0.008835468934630986,-0.6482577989644369
10.47128548050901,0.0346798583436539,0.008399980381809271,-0.6801641772504325
10.96478196143186,0.03505742111063043,0.007788650662966609,-0.7146601674618474
11.48153621496884,0.03457993183591274,0.008097611350957917,-0.7460679517836866
12.02264434617413,0.03496825982482978,0.008016272045753902,-0.7802645338426686
12.58925411794169,0.03508521099380647,0.008007617828282968,-0.816764820715207
13.18256738556409,0.03488157517679743,0.007639633840770872,-0.8555052127250349
13.80384264602885,0.03506552063148466,0.007619573526112422,-0.8973118452789244
14.45439770745929,0.03465803187681723,0.00808450621726254,-0.9367285379624946
15.1356124843621,0.03510297037375061,0.00748982398238623,-0.9817323540183622
15.84893192461114,0.03491443907736092,0.007869740607958512,-1.029545100374548
16.59586907437563,0.03470543778535913,0.007938449182247415,-1.07706848059442
17.37800828749376,0.03479374346375827,0.007815048894658231,-1.128175359235916
18.19700858609984,0.03474971298041175,0.007293065964668017,-1.179799071885355
19.0546071796325,0.03432510627634473,0.007984876983998109,-1.233397631886203
19.95262314968881,0.03464513129405118,0.007694632186209957,-1.291933752530682
20.89296130854041,0.03449829292941607,0.007743982629617019,-1.354796290648608
21.87761623949554,0.03501523778124556,0.006975408401775927,-1.417323740165813
22.90867652767774,0.03498181822129195,0.007346587937685704,-1.483012360971969
23.98832919019492,0.03484276800737676,0.007295515183033599,-1.553708032412231
25.11886431509582,0.03517229426312062,0.006631989767121035,-1.624033448982242
26.30267991895384,0.03424761799167252,0.006943336711431551,-1.702736791915783
27.54228703338169,0.03465241509726513,0.00638678258572563,-1.781268096839952
28.84031503126609,0.03462598846801746,0.006418770106212571,-1.867323778689517
30.19951720402019,0.03489054227022229,0.006864227651990052,-1.951431935801317
31.62277660168382,0.03486534776513921,0.006093535937907655,-2.045521363108548
33.11311214825914,0.03465847877769906,0.005880483306354474,-2.139269824502733
34.67368504525317,0.03482280611921764,0.005694352208837458,-2.242148103607384
36.30780547701018,0.03441607649758609,0.005777815064973178,-2.346120329247448
38.01893963205617,0.03484291044700318,0.005354898950755918,-2.456657790339868
39.81071705534973,0.03470496750065004,0.005309781912925908,-2.570485949114686
41.6869383470336,0.03469165772295239,0.004922192940137919,-2.693735497875487
43.65158322401665,0.03463784011166179,0.005079327571865495,-2.822086531760648
45.70881896148752,0.03452833869384226,0.004364582803520043,-2.95607367453929
47.8630092322639,0.03483082259513438,0.004579248650452493,-3.091574554325533
50.1187233627273,0.03489724475042518,0.002961665266763526,-3.231693195732916
52.48074602497728,0.03465822151025046,0.004169545283505085,-3.386494509506946
54.95408738576254,0.03458973625169721,0.003427030134765728,-3.548011500913475
57.54399373371578,0.03455256799336957,0.003113220204537932,-3.713591972121669
60.25595860743581,0.03454243639198958,0.002580545948568796,-3.881831578439034
63.09573444801936,0.03441992875556953,0.00203748532802387,-4.067991981130689
66.06934480075964,0.03447186834958476,0.001834907525976521,-4.259530951855638
69.1830970918937,0.03456223843173527,0.001018369297816612,-4.459450626893755
72.44359600749907,0.03510294512672144,0.0002303000517188354,-4.669820723801848
75.85775750291843,0.03435346082179324,0.0001556958160177488,-4.884445249193291
79.43282347242821,0.03488280320053401,-0.0003471781408097394,-5.114954525318922
83.17637711026718,0.03448738632611901,-0.0005958001295136063,-5.357267175037578
87.09635899560816,0.03466974904088119,-0.001538506748513242,-5.609030917926475
91.20108393559106,0.03480051377968157,-0.002492024959641795,-5.86888511551129
95.4992586021437,0.03516071109555163,-0.003239846458678967,-6.146510959288136
100,0.03474728158412194,-0.003720856517710586,-6.434363013882024
104.7128548050901,0.03455131066919805,-0.00460665034189946,-6.736160926003279
109.6478196143186,0.0346055080858314,-0.005136060526552011,-7.051145943489544
114.8153621496883,0.03467660406060935,-0.006508476955668471,-7.381921033818813
120.2264434617414,0.03523344649858962,-0.007937560227487929,-7.727115186620523
125.8925411794168,0.034592182259639,-0.008297919426683901,-8.089874786974846
131.8256738556408,0.03465052185843837,-0.009773902319246231,-8.470114389414761
138.0384264602886,0.03482975458963598,-0.01110349136739683,-8.868444682346876
144.5439770745929,0.0344990984487873,-0.01234061470254181,-9.282332883767737
151.3561248436209,0.03472668029143328,-0.01375106729419275,-9.718370126523233
158.4893192461115,0.0347647336476683,-0.01581905736756158,-10.17319294433018
165.9586907437562,0.03478485593154651,-0.01730127503317026,-10.65557909190836
173.7800828749376,0.03460296917933559,-0.01905688085125576,-11.15011333287056
181.9700858609984,0.03448209223625868,-0.02100583080201788,-11.67426486355328
190.546071796325,0.03497707565191058,-0.02325861017057548,-12.21978968342489
199.5262314968881,0.03457861183617621,-0.02516035391098125,-12.79440595391137
208.929613085404,0.03459646691512479,-0.02736390799792215,-13.39209579153763
218.7761623949554,0.03455256367572111,-0.03038119455579448,-14.02147316528561
229.0867652767775,0.0345242960992993,-0.03292573174608646,-14.67685515223869
239.8832919019491,0.03443478769913962,-0.03654125840633806,-15.36659430856581
251.1886431509582,0.03441963972207193,-0.03911333148333557,-16.08793328126097
263.0267991895385,0.03454772698361608,-0.04314101121426683,-16.84026937601192
275.4228703338167,0.03385231962212092,-0.04653149596714763,-17.63104963665711
288.4031503126608,0.03396639824866454,-0.05035455564928319,-18.45391774812121
301.9951720402019,0.03444371257012104,-0.05570733847558314,-19.3223248834983
316.2277660168381,0.034124611391291,-0.05987761001762265,-20.22662619296918
331.1311214825913,0.03422031145751642,-0.06528554597211128,-21.17408209850245
346.7368504525317,0.03447361205912726,-0.07141951898040881,-22.16649682703627
363.0780547701016,0.03371122826783,-0.07684654303366834,-23.20764475113122
380.1893963205612,0.03340080397695264,-0.08330844454557271,-24.29221512814637
398.1071705534973,0.03387017882645652,-0.09089998272816602,-25.43147680346226
416.8693834703357,0.03368158971249611,-0.09895926460673236,-26.62371512857688
436.5158322401661,0.03367379853706661,-0.1069799988433234,-27.86572918002742
457.0881896148752,0.03376724230808098,-0.1159168270513737,-29.17431855033774
478.6300923226388,0.0334037981795353,-0.1256834545590662,-30.54139732605663
501.1872336272725,0.0336420979384983,-0.1356591640041887,-31.96894230195477
524.8074602497728,0.03310828044462223,-0.1470013019302507,-33.46817448298924
549.5408738576245,0.03314448943865622,-0.1587975810120581,-35.03624576447979
575.4399373371572,0.03293947833887739,-0.1717368835326736,-36.67494246275101
602.5595860743581,0.03253978263129875,-0.1857466234258728,-38.39211943419525
630.9573444801933,0.03260539970319801,-0.2017495174441653,-40.18851517423278
660.6934480075964,0.03260548931239867,-0.2192611708275526,-42.06868907143939
691.8309709189366,0.03232198970805088,-0.2366446782073654,-44.03560273623384
724.4359600749902,0.03245055039687265,-0.2562553640298127,-46.10139472259519
758.5775750291845,0.03169287052485811,-0.2746459050247597,-48.26538706181446
794.3282347242817,0.03178145549419201,-0.2964134567019396,-50.5294366248757
831.7637711026713,0.03125724359770501,-0.3203774294776848,-52.89778891333789
870.9635899560806,0.03135166250102187,-0.3448313582772207,-55.3820639521017
912.0108393559101,0.03078223189372433,-0.3715649088998957,-57.97816293923506
954.9925860214364,0.03071483626879312,-0.400206057346549,-60.70347576729223
1000,0.02998639805875913,-0.4291840740806122,-63.5609675751423
1047.1285480509,0.03030723174357659,-0.4617711980814054,-66.55507415234334
1096.478196143186,0.02957441080731956,-0.4949955919259999,-69.68828518988052
1148.153621496883,0.02958726819232657,-0.5334082588997024,-72.98388472431043
1202.264434617413,0.0287951213725828,-0.5702071737007703,-76.4384993895045
1258.925411794167,0.027965480044094,-0.6106944469308089,-80.0669413495807
1318.256738556407,0.0276964098137994,-0.651937674950209,-83.88146432182576
1380.384264602885,0.02771884279691662,-0.6958534071079001,-87.88959593820985
1445.439770745928,0.0272299302043673,-0.7400411479552128,-92.10777860367189
1513.561248436209,0.02644766464227968,-0.7861085603368219,-96.5550885795474
1584.893192461113,0.02621456401954696,-0.8350946491280606,-101.2382764315657
1659.586907437561,0.02550340790175645,-0.8854481177737482,-106.1850860903461
1737.800828749376,0.02449073384854139,-0.9345547270611474,-111.4180115643898
1819.700858609984,0.02409402626821669,-0.9900868564217276,-116.9445013031038
1905.460717963248,0.02367996268550044,-1.045512438297342,-122.8175445715192
1995.262314968881,0.02311023018254089,-1.102218358952004,-129.057934186033
2089.29613085404,0.02245838896933864,-1.159765861208911,-135.7303578756876
2187.761623949553,0.02189730929813148,-1.21259516289274,-142.8835626096942
2290.867652767773,0.02095264324068407,-1.271013434362791,-150.5417329215323
2398.832919019491,0.02100368464400143,-1.334886884014238,-158.8268913510205
2511.886431509582,0.01907911024180049,-1.412032732112972,-167.7770941595448
