Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
729.8916631012835,0.03273825451773994,-29.96885828785346
757.2593944741865,0.03193208234163742,-29.57296057809736
785.6532955629025,0.03163718744615635,-29.17017943726118
815.1118432244036,0.03141864810765974,-28.7605329755095
845.6749570287898,0.03089990911006503,-28.35192493903839
877.3840533546966,0.03076806438221338,-27.92836161557643
910.2821015130407,0.03023029155574666,-27.48649657356516
944.4136819751586,0.03062023526948555,-27.04939073986211
979.8250467842445,0.03004140755337998,-26.59298254864489
1016.564182231955,0.03113806343962072,-26.12040140232788
1054.680873885109,0.03160811818006237,-25.64508154213318
1094.226774050598,0.03239063101097885,-25.14515659807884
1135.255471769945,0.03384780000445261,-24.62891780992904
1177.822565438347,0.03400481016174071,-24.09119145831641
1221.985738146606,0.03361357789165283,-23.52536456943314
1267.80483584806,0.03301233148648982,-22.93981081008411
1315.341948456431,0.03351135423433103,-22.32612585985803
1364.661493984479,0.03304997990152504,-21.67509107534615
1415.83030583749,0.03164479149339644,-20.98701149669505
1468.917723379891,0.03296949664107601,-20.25182402169312
1523.995685897705,0.03182177421645666,-19.46201751653869
1581.138830084191,0.0329864479985892,-18.60926649238275
1640.424591180773,0.03295454660689611,-17.67268016727019
1701.933307910298,0.02979850503804005,-16.63819606587274
1765.74833134484,0.03023125494859948,-15.49162018836631
1831.956137855559,0.02931036560525784,-14.17451643949458
1900.646446297697,0.0289827553976207,-12.65284391620634
1971.912339589479,0.02895989563278053,-10.84877144174569
2045.850390849709,0.02863774741466481,-8.629550542314778
2122.560794264953,0.02581715702098778,-5.82645703547631
2202.14750086368,0.03066463453894519,-2.383097070205209
2284.718359381327,0.03234056270097146,0.001298227695283064
2370.385262407196,0.03316775644808415,-2.108712514864754
2459.264298011203,0.03329301754056901,-5.571922476777617
2551.475907055985,0.03492889378745948,-8.427904694847452
2647.145046407495,0.03482055058890168,-10.68803342840383
2746.401358265296,0.03644937234980448,-12.51507641408539
2849.379345841995,0.03699397147431655,-14.05826978081941
2956.218555629871,0.03853717293314144,-15.38004858407819
3067.063766501725,0.03766548472660348,-16.54640539527047
3182.065185902149,0.03882427272148956,-17.59111972566571
3301.378653395132,0.03864516529322571,-18.53231386866269
3425.165851843809,0.0392795462419931,-19.39766763498274
3553.594526508495,0.03849782094906076,-20.19176674871035
3686.83871235996,0.03875178775870929,-20.93291562912686
3825.078969915943,0.03919173315686399,-21.61927818617762
3968.502629920499,0.03986598596177954,-22.2717018306944
4117.304047197754,0.04015917483868363,-22.88538189132978
4271.684864024041,0.04048568083013655,-23.4830981509648
4431.854283375365,0.0398283260870794,-24.04385453933308
4598.02935242042,0.04165728895446619,-24.58500364825003
4770.435256643361,0.04155559163778075,-25.10804367381629
4949.305624994896,0.0430450635725102,-25.60154182246207
5134.882846485179,0.03815798990840673,-26.08911208324037
5327.418398647569,0.04405295260739681,-26.5651122390286
5527.173188318342,0.04540977778079273,-27.00157178135855
5734.417905194106,0.03729931553540329,-27.46726893606253
5949.43338864612,0.04718349139072542,-27.88761879402347
6172.511008288492,0.04761995304431163,-28.31915164908237
6403.95305881604,0.04819878642606319,-28.73646173178384
6644.07316964684,0.04741220680357018,-29.14596137031329
6893.196729924544,0.04622289996321172,-29.53311658055717
7151.661329456443,0.04527146746638429,-29.93458636869988
