Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
100.0000000000001,0.03892207428987277,-47.9834411788032
103.7495607576362,0.03880490001942159,-47.69261764945323
107.6397135740242,0.0386649942403763,-47.3442725833056
111.6757300338277,0.03891636772544174,-47.02747063217801
115.8630793829796,0.03887017439688389,-46.71220697483528
120.2074359401125,0.03865064666785724,-46.40927189500125
124.7146867858835,0.03860050331676412,-46.07764482092873
129.3909397406157,0.03884968854416347,-45.77551938091823
134.2425316410663,0.03870894902566865,-45.44394274602087
139.2760369275369,0.03863214709487329,-45.09886350291342
144.4982765529625,0.03891292977282493,-44.80900859007606
149.9163272260527,0.03848653550707606,-44.45363947822558
155.53753100101,0.03888217124416897,-44.14169887479191
161.36950522682,0.03883720527334013,-43.84602962363228
167.4201528695962,0.03893879315879856,-43.5169112414886
173.6976732219688,0.038859911028988,-43.24280114115842
180.2105730140267,0.03878859258050424,-42.90304693969482
186.9676779408717,0.03903733704960705,-42.57891174265989
193.9781446224059,0.03886403041180023,-42.26473952399678
201.2514730115583,0.03869098663071236,-41.94869515189843
208.797519267764,0.03898614421854701,-41.61923632540082
216.6265091131456,0.0388411005080932,-41.30122787598782
224.7490516894891,0.03889851331413949,-40.98203200217965
233.1761539347973,0.03890277836537791,-40.66573697321082
241.9192354989014,0.03862990873229818,-40.33172328999788
250.9901442183414,0.03870866108053932,-40.00520778572997
260.4011721714865,0.03881372808465316,-39.66011180429635
270.1650723356527,0.03913937744942136,-39.35216262420709
280.2950758687894,0.03866334025708387,-39.01217237830598
290.8049100391518,0.03884075796483798,-38.68193443994331
301.7088168272584,0.03883059579082246,-38.34916866400734
313.0215722253414,0.03895459172010822,-37.99359408165746
324.7585062604383,0.0388144912634821,-37.6874106136521
336.9355237682645,0.03888276297153537,-37.35437946020057
349.5691259460149,0.03913049640368518,-37.01653988981387
362.676432713298,0.03885007439217485,-36.67989146685263
376.27520591151,0.03870338816952799,-36.36076688330387
390.3838733730823,0.0389594071965589,-36.01552429730711
405.021553893219,0.03902916184027084,-35.66811407299084
420.2080831379665,0.03901223933245864,-35.34111223049581
435.9640405237222,0.03900707507513421,-34.99038276628615
452.3107771046043,0.0387364236307696,-34.64663553769595
469.2704445054773,0.0388147752832533,-34.30882465658171
486.8660249398387,0.03893847669577527,-33.95977643661675
505.1213623532454,0.03868414362365676,-33.60344870835956
524.0611947344794,0.03899744737653295,-33.26353139282829
543.7111876382419,0.03883364719465848,-32.89749723713708
564.0979689648024,0.03874199196939655,-32.5347425050176
585.2491650437286,0.0390264089853965,-32.17590136365843
607.1934380706007,0.0386268663946807,-31.80145369566919
629.9605249474369,0.03892704861033738,-31.43033232436015
653.5812775794643,0.03897071717365224,-31.06029924204265
678.08770468284,0.03915928424578252,-30.68234980506329
703.5130151599825,0.03920425132132828,-30.29955885342041
729.8916631012835,0.03896538513592973,-29.90483535215809
757.2593944741865,0.03910558392448942,-29.50609364658012
785.6532955629025,0.03922807817294329,-29.10760091807594
815.1118432244036,0.03912580104353142,-28.69044862785451
845.6749570287898,0.03903478281642744,-28.27859327216848
877.3840533546966,0.03923936117567404,-27.85863002344895
910.2821015130407,0.03899686191972177,-27.42293624846283
944.4136819751586,0.03912505281697189,-26.9771598981478
979.8250467842445,0.03928452745541318,-26.51392197699001
1016.564182231955,0.03941673900851639,-26.04755958056538
1054.680873885109,0.03945390831244063,-25.5651379575395
1094.226774050598,0.03941084135590239,-25.05648110049407
1135.255471769945,0.03954741265063638,-24.53978102838131
1177.822565438347,0.03941944783277794,-24.00194771446523
1221.985738146606,0.03945900794914561,-23.42951466922319
1267.80483584806,0.03984165988058535,-22.84120677367776
1315.341948456431,0.03971695691567632,-22.21376871567137
1364.661493984479,0.03984114551093738,-21.56298768005481
1415.83030583749,0.03940764797351641,-20.87081627197628
1468.917723379891,0.03973206617800573,-20.1260378792453
1523.995685897705,0.04012501950323446,-19.32672900406925
1581.138830084191,0.04021115576425996,-18.45877397556495
1640.424591180773,0.04020397693073177,-17.51522290804199
1701.933307910298,0.04037244992361928,-16.46720131073005
1765.74833134484,0.04031174377723791,-15.28625021025182
1831.956137855559,0.04050925017478315,-13.94338174583944
1900.646446297697,0.04053683449252878,-12.38687011890856
1971.912339589479,0.04152707560323197,-10.52166680027385
2045.850390849709,0.04075418111983653,-8.235628347026186
2122.560794264953,0.04192135230286446,-5.326188742945053
2202.14750086368,0.04161665656748945,-1.848632015306555
2284.718359381327,0.04158845182893885,-0.07434092060103827
2370.385262407196,0.04210344805814365,-2.693106588129419
2459.264298011203,0.04217703910209933,-6.083361083563988
2551.475907055985,0.04204352338056522,-8.817403193697265
2647.145046407495,0.04173969676513731,-10.99548277196388
2746.401358265296,0.04369914999840424,-12.78133823507911
2849.379345841995,0.04333480288134393,-14.26679862655512
2956.218555629871,0.0441495185507429,-15.5795412233247
3067.063766501725,0.04386890276698536,-16.72077536972879
3182.065185902149,0.044703096884895,-17.74541705389272
3301.378653395132,0.04500103292492,-18.67202964648241
3425.165851843809,0.04505913517490535,-19.51730223957227
3553.594526508495,0.04514705424774696,-20.30544294068903
3686.83871235996,0.04525391242312225,-21.03419396280795
3825.078969915943,0.04601495669342383,-21.718270375958
