Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,6.046652637102622,0
6.103515625,5.737655950534943,-179.3950929773634
12.20703125,2.258199078880001,1.38685137580674
18.310546875,-7.955065169211175,-174.927703210004
24.4140625,-26.78536481514932,26.89968836548062
30.517578125,-29.01684890694248,-127.427016378032
36.62109375,-27.10830963104052,74.23770844303465
42.724609375,-25.90125090258471,-98.92301002769999
48.828125,-23.41999994640727,84.06043906537269
54.931640625,-22.07483743191963,-119.6896367452505
61.03515625,-23.10486351577087,24.1660360780193
67.138671875,-25.53392946692102,-172.1682273842503
73.2421875,-27.419555672091,-7.262956867232556
79.345703125,-28.15399398453833,157.4163943242729
85.44921875,-26.69148360240613,-41.93311838705622
91.552734375,-24.76515765622412,116.3766039346663
97.65625,-23.14498269199739,-90.70886183927009
103.759765625,-24.18544766597883,67.81587879016884
109.86328125,-27.8659623218334,-123.094806803214
115.966796875,-28.96225489405008,91.10986957379957
122.0703125,-25.92781034791165,-11.48818428826742
128.173828125,-24.07551954873239,-169.7133553390102
134.27734375,-23.63940182630194,24.23374270323723
140.380859375,-24.21249488879472,-148.0632767045765
146.484375,-26.85129641156919,30.20528242659423
152.587890625,-26.26786707648606,132.4189366809156
158.69140625,-27.03192435160018,-97.1981327915056
164.794921875,-34.93025370065175,73.2078746787262
170.8984375,-35.87193534847216,-108.6010243417089
177.001953125,-26.49954077846368,76.01869531513921
183.10546875,-23.18519009198478,-97.20283985053018
189.208984375,-23.53163206262577,86.41848509841358
195.3125,-26.50418543468773,-90.31339470030554
201.416015625,-28.08033625161325,100.6799166410843
207.51953125,-29.76848350825626,-52.18934382604174
213.623046875,-32.54103729344012,149.4069309152519
219.7265625,-32.93300569877283,-10.72346295514926
225.830078125,-36.17313540828453,-153.4456933850162
231.93359375,-46.73461666124421,21.67364502838078
238.037109375,-41.6188782147222,-161.8192469995969
244.140625,-32.97977256074595,28.35620147310398
250.244140625,-30.55348451126815,-53.36292548016542
256.34765625,-34.90396955406928,142.4103079681258
262.451171875,-30.73999997423945,-24.07507241570423
268.5546875,-28.35967271130896,162.747952553567
274.658203125,-26.96613727292474,-17.59399376071197
280.76171875,-28.13455243905166,159.1309570643454
286.865234375,-31.37495330856207,-30.34858297127882
292.96875,-32.69850009117535,134.7412924130306
299.072265625,-31.21200524425115,-66.51185212616106
305.17578125,-31.24284041393184,91.16006342402193
311.279296875,-32.99578805868502,-115.5373087641787
317.3828125,-32.5228360730588,29.01571920241191
323.486328125,-32.36269273499183,-169.3407630071349
329.58984375,-35.88615605732,-32.12446740805487
