Time (s),Channel 1 (V),Channel 2 (V)
-5.923936507936505e-06,-0.01350180093734463,0.006700020709332516
-5.913936507936503e-06,-0.03938564842371972,0.006700020709332516
-5.903936507936502e-06,-0.01719949343539653,-0.004439507723672804
-5.893936507936507e-06,-0.01350180093734631,0.01412637299799992
-5.883936507936505e-06,-0.03568795592566613,0.02526590143102212
-5.873936507936504e-06,-0.02829257092955897,-0.008152683868019168
-5.863936507936502e-06,-0.02829257092955897,0.002986844564994595
-5.853936507936507e-06,-0.02459487843150707,-0.00443950772367787
-5.843936507936506e-06,-0.0208971859334518,-0.0007263315793433261
-5.833936507936504e-06,-0.0208971859334518,-0.01557903615669501
-5.823936507936502e-06,-0.01350180093734463,-0.01929221230103293
-5.813936507936501e-06,-0.03568795592565437,-0.0007263315793483918
-5.803936507936506e-06,-0.009804108439291047,-0.01186586001235709
-5.793936507936504e-06,-0.0208971859334518,0.002986844564994595
-5.783936507936503e-06,-0.01719949343539821,-0.004439507723681247
-5.773936507936501e-06,-0.03199026342760918,-0.01186586001235709
-5.763936507936506e-06,-0.02459487843150875,-0.01186586001235709
-5.753936507936505e-06,-0.006106415941237463,-0.0007263315793433261
-5.743936507936503e-06,-0.0208971859334518,-0.008152683868019168
-5.733936507936501e-06,-0.01719949343540326,-0.00815268386801748
-5.723936507936507e-06,-0.02829257092955392,-0.004439507723682936
-5.713936507936505e-06,-0.0430833409217733,-0.01186586001235709
-5.703936507936503e-06,-0.05417641841593406,0.002986844564994595
-5.693936507936502e-06,-0.03199026342761255,-0.0007263315793433261
-5.683936507936507e-06,-0.03568795592566446,0.0141263729980016
-5.673936507936505e-06,-0.03199026342761255,-0.008152683868019168
-5.663936507936504e-06,-0.03568795592566613,-0.004439507723681247
-5.653936507936502e-06,-0.03199026342761255,-0.008152683868019168
-5.643936507936501e-06,-0.02089718593345685,-0.00815268386801579
-5.633936507936506e-06,-0.03199026342761255,-0.0007263315793433261
-5.623936507936504e-06,-0.03938564842371972,-0.01186586001235709
-5.613936507936503e-06,-0.03568795592566613,0.0215527252866842
-5.603936507936501e-06,-0.02829257092956065,-0.004439507723682936
-5.593936507936506e-06,-0.03199026342761087,-0.008152683868017478
-5.583936507936505e-06,-0.009804108439291047,-0.004439507723681247
-5.573936507936503e-06,-0.03938564842371972,-0.01557903615669501
-5.563936507936501e-06,-0.02459487843150875,-0.0007263315793433261
-5.553936507936507e-06,-0.03199026342760918,-0.0007263315793433261
-5.543936507936505e-06,-0.01719949343539821,-0.008152683868019168
-5.533936507936503e-06,-0.03568795592566613,-0.02300538844537085
-5.523936507936502e-06,-0.02459487843150538,-0.0007263315793433261
-5.513936507936507e-06,-0.02459487843150538,0.002986844564992906
-5.503936507936505e-06,-0.006106415941237463,-0.008152683868019168
-5.493936507936504e-06,-0.02829257092955897,-0.01186586001235709
-5.483936507936502e-06,-0.01719949343539821,-0.004439507723681247
-5.473936507936501e-06,-0.03199026342761087,-0.01186586001235709
-5.463936507936506e-06,-0.02829257092955897,-0.01186586001235709
