Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
217.5125898196537,0.01190322979179035,-40.45689679344061
225.3328965214705,0.01173512198619894,-40.24836716400611
233.4343694627274,0.01177726826061418,-39.94508410986521
241.8271175121959,0.01225212038689781,-39.46885360038021
250.5216129863645,0.01201069897442078,-38.98252527104178
259.5287047166022,0.01184419208995052,-39.07292217524039
268.8596315861314,0.01197346413389048,-38.8105808553233
278.5260365536983,0.01183629297505815,-38.44292971010241
288.5399811814428,0.01195895503559965,-37.736749356064
298.9139606850948,0.01191756481396552,-37.69940264178059
309.6609195252725,0.01176114028852683,-37.30401822239494
320.7942675593429,0.01158530786859216,-36.89433411324563
332.3278967739958,0.0116864694177018,-36.4201127769614
344.276198619407,0.01207955782214916,-36.1931202868223
356.6540819666268,0.01209847766868332,-35.85018536533686
369.4769917105939,0.0119144917719047,-35.55049323818305
382.7609280419905,0.01221254816396763,-35.11457351199363
396.5224664119866,0.01201272508854728,-34.91638374984917
410.7787782147822,0.01208992927372399,-34.50272459230162
425.547652213757,0.01207833794076793,-34.21133972740483
440.8475167379621,0.01204395946360365,-33.77832298425676
456.6974626766481,0.01191549700422033,-33.36622066317463
473.1172673005286,0.01212678949257255,-33.01692130855187
490.1274189394904,0.01239223857792444,-32.64146737970242
507.7491425475565,0.0121817772701195,-32.28283527354203
526.0044261869941,0.01201290049764252,-31.8516745411146
544.9160484646109,0.01213625408936222,-31.47401930536255
564.5076069544828,0.01224155462430127,-31.08865102875846
584.8035476425733,0.01242510909093577,-30.72501664634249
605.829195429984,0.01217487153334626,-30.33650724058777
627.6107857328972,0.01214770741178926,-29.87454295408423
650.1754972186503,0.01198766475178378,-29.39826198319819
673.5514857187729,0.01210461166043593,-28.9936423569187
697.7679193613154,0.01239360625110563,-28.56686372373822
722.8550149663025,0.01206716865590514,-28.05004952883686
748.844075749726,0.01215755939877312,-27.57010212506931
775.7675303831199,0.01228301565913691,-27.04048645123719
803.658973457459,0.01240936685928928,-26.55984909994711
832.5532074018735,0.01194940310341432,-25.9903016937756
862.4862859094777,0.01220624373734806,-25.43111955261796
893.4955589245034,0.01235283022675455,-24.82065102710866
925.6197192468744,0.01216526552373761,-24.20012299140561
958.8988508123717,0.0124633887586798,-23.51409999102303
993.3744787086233,0.01250020440852382,-22.80898578613538
1029.089620989352,0.01228392064315231,-22.01984883816807
1066.088842351508,0.01234366349196651,-21.19531153762054
1104.418309742275,0.01264383061825087,-20.25863054340327
1144.125849965338,0.01223705033327565,-19.26293281956414
1185.261009358293,0.01264736577018987,-18.12239191912064
1227.875115615646,0.01272235072131164,-16.85610132302306
1272.021341834573,0.01245238709620416,-15.39846662859385
1317.754772863328,0.01272539510045174,-13.59168848224094
1365.132474035101,0.01300016075721836,-11.43126087267208
1414.213562373096,0.01307734317747142,-8.596564443665709
1465.059280355657,0.01302938301238468,-4.784641745563754
1517.733072333508,0.0127640835886755,-0.4296457189675665
1572.300663694449,0.01310647038886877,-2.017236727645268
1628.830142874276,0.01290043575783004,-6.456361085587645
1687.392046316291,0.01299755256332766,-9.817090739387936
1748.059446485361,0.01348716722268527,-12.35568761017781
1810.908043046405,0.01320709762751936,-14.35753170866627
1876.016257321045,0.01392354870974306,-15.99146598275276
1943.465330140276,0.01389303565290449,-17.38580459222102
2013.339423215283,0.01431575579498681,-18.58880282056848
2085.725724152885,0.01397453421488916,-19.68254078635628
2160.714555246608,0.01395760955933897,-20.64031231980949
2238.399486179197,0.01455587807481463,-21.5364063268599
2318.877450777128,0.01451042420864288,-22.34025819539326
2402.248867962863,0.01448948881608092,-23.08676783071331
2488.61776705573,0.01452663561596247,-23.7901419989551
2578.091917577787,0.01494729140527048,-24.45917758889784
2670.782963726655,0.01558145174129995,-25.06836160252772
2766.806563683087,0.01476817765644393,-25.64905539176967
2866.282533927115,0.01563058633764416,-26.24653029717338
2969.334998742857,0.01546301583418014,-26.76493696251558
3076.0925450985,0.01664561670200007,-27.28840487791528
3186.688383094765,0.01687544724930959,-27.78080828776988
3301.260512182009,0.01726007397369881,-28.27485791464013
3419.951893353395,0.01747393846636743,-28.73930854998244
3542.910627529002,0.01752500146804409,-29.17816270202768
3670.290140353412,0.01808490741117933,-29.62587073670784
3802.249373637407,0.01910277329398274,-30.02641315348656
3938.952983682643,0.01930300031901809,-30.46871624874174
4080.571546736739,0.01891072901955538,-30.85249498562995
4227.281771835191,0.01954586751920128,-31.25391619463652
4379.266721295637,0.02003808684583137,-31.66294342444316
4536.716039139659,0.01820776006403328,-32.05266370552619
4699.826187727105,0.02141614868558913,-32.45687067305033
4868.800692898185,0.0193791140343764,-32.82422248934245
5043.850397929289,0.02186119035399125,-33.2244410391087
5225.193726619332,0.02308525756046132,-33.59260087496721
5413.056955834948,0.01813323953943396,-33.94489856471134
5607.674497854612,0.02342309357958276,-34.31714888828284
5809.289192863946,0.0245894590213517,-34.63417419366758
6018.152611967239,0.02532147380725239,-35.01907706135062
6234.525371093257,0.02359957105811726,-35.36527271376241
6458.677456186961,0.0213269566399407,-35.71031309670356
6690.888560093042,0.01812677117748126,-36.08505048997474
6931.448431551466,0.01604919316813755,-36.40470878785082
7180.657236740642,0.01636123397246607,-36.75461852925986
7438.825933819243,0.01902332630700321,-37.03481354468337
7706.276660934066,0.02305117599324671,-37.35865843978872
7983.343138178097,0.02843145035258272,-37.74574028734256
8270.371084000277,0.03076451144951784,-38.01346755395196
8567.718646586627,0.03122854937163718,-38.32397352303958
8875.756850750975,0.03181300556838297,-38.6532327916632
9194.870060892859,0.02599374236171435,-39.05808745273502
9525.456460600362,0.02970102012715136,-39.33118439920605
9867.928549496281,0.03418695699791469,-39.61158470460988
10222.71365794751,0.03461303471858786,-39.97461265363536
10590.25448028008,0.02256875487982553,-40.25151879930439
